#From https://www.meteoswiss.admin.ch/home/measurement-and-forecasting-systems/land-based-stations/automatisches-messnetz.html?region=Table
name	altitude	easting	northing	abreviation
Meiringen	589	655844	175930	MER
Montagnier-Bagnes	839	583492	102189	MOB
Montana	1427	601706	127482	MVE
Monte-Generoso	1600	722503	87456	GEN
Monte-Rosa-Plattje	2885	629149	89520	MRP
Mosen	453	660128	232851	MOA
Mottec	1580	614325	110730	MTE
Mhlin	344	633053	269147	MOE
Muhleberg	480	587788	202478	MUB
Muhleberg-Stockeren	775	588150	200125	MSK
Naluns-Schlivera	2400	815374	188987	NAS
Napf	1404	638133	206079	NAP
Neuchatel	485	563087	205560	NEU
Nyon-Changins	455	506880	139573	CGI
Oberriet	409	764171	249582	OBR
Oron	827	555506	158052	ORO
Passo-del-Bernina	2260	798422	143020	BEH
Payerne	490	562127	184612	PAY
Pilatus	2106	661910	203410	PIL
Piotta	990	695888	152261	PIO
Piz-Corvatsch	3302	783151	143522	COV
Piz-Martegnas	2670	760261	160570	PMA
Plaffeien	1042	586808	177400	PLF
Poschiavo-Robbia	1078	801850	136180	ROB
PSI-Wurenlingen	334	659540	265600	PSI
Pully	456	540811	151514	PUY
Robiei	1896	682588	144091	ROE
Runenberg	611	633246	253846	RUE
S.Bernardino	1639	734112	147296	SBE
Salen-Reutenen	718	719099	279047	HAI
Samedan	1709	787210	155700	SAM
Sattel-Aegeri	790	690999	215145	SAG
Schaffhausen	438	688698	282796	SHA
Schiers	626	769617	205125	SRS
Schupfheim	742	643684	199710	SPF
Scuol	1304	817135	186393	SCU
Segl-Maria	1804	778575	144976	SIA
Simplon-Dorf	1465	647683	116340	SIM
Sion	482	591630	118575	SIO
St.Chrischona	493	618695	269036	STC
St.Gallen	776	747865	254588	STG
Sta.Maria	1383	828861	165580	SMM
Stabio	353	716050	77966	SBO
Santis	2502	744200	234920	SAE
Thun	570	611201	177640	THU
Titlis	3040	675400	180400	TIT
Uetliberg	854	679454	245034	UEB
Ulrichen	1346	666740	150760	ULR
Vaduz	457	757719	221697	VAD
Valbella	1569	761635	180385	VAB
Vals	1242	734016	165552	VLS
Vevey-Corseaux	405	552106	146847	VEV
Vicosoprano	1089	768485	135866	VIO
Villars-Tiercelin	859	544198	163651	VIT
Visp	639	631149	128020	VIS
Weissfluhjoch	2691	780615	189634	WFJ
Wynau	422	626400	233850	WYN
Wadenswil	485	693847	230744	WAE
Zermatt	1638	624350	97560	ZER
Zurich-Affoltern	444	681428	253546	REH
Zurich-Fluntern	556	685117	248066	SMA
Zurich-Kloten	426	682710	259339	KLO
